"","x","y"
"1",-4,0.00115717361713843
"2",-3.99,0.00119053700740039
"3",-3.98,0.00122477490688334
"4",-3.97,0.00125990750772602
"5",-3.96,0.0012959553877098
"6",-3.95,0.00133293951536238
"7",-3.94,0.00137088125506624
"8",-3.93,0.00140980237216976
"9",-3.92,0.00144972503809896
"10",-3.91,0.00149067183546759
"11",-3.9,0.0015326657631833
"12",-3.89,0.00157573024154755
"13",-3.88,0.00161988911734696
"14",-3.87,0.00166516666893352
"15",-3.86,0.00171158761129126
"16",-3.85,0.00175917710108665
"17",-3.84,0.00180796074170033
"18",-3.83,0.00185796458823715
"19",-3.82,0.00190921515251202
"20",-3.81,0.00196173940800857
"21",-3.8,0.00201556479480775
"22",-3.79,0.00207071922448347
"23",-3.78,0.00212723108496215
"24",-3.77,0.00218512924534312
"25",-3.76,0.00224444306067677
"26",-3.75,0.00230520237669709
"27",-3.74,0.00236743753450543
"28",-3.73,0.00243117937520204
"29",-3.72,0.00249645924446205
"30",-3.71,0.00256330899705229
"31",-3.7,0.00263176100128549
"32",-3.69,0.00270184814340823
"33",-3.68,0.00277360383191896
"34",-3.67,0.00284706200181225
"35",-3.66,0.00292225711874567
"36",-3.65,0.00299922418312526
"37",-3.64,0.00307799873410569
"38",-3.63,0.00315861685350123
"39",-3.62,0.00324111516960336
"40",-3.61,0.00332553086090092
"41",-3.6,0.00341190165969879
"42",-3.59,0.00350026585563062
"43",-3.58,0.00359066229906157
"44",-3.57,0.0036831304043766
"45",-3.56,0.00377771015314995
"46",-3.55,0.00387444209719131
"47",-3.54,0.00397336736146435
"48",-3.53,0.00407452764687283
"49",-3.52,0.00417796523290993
"50",-3.51,0.00428372298016594
"51",-3.5,0.00439184433268978
"52",-3.49,0.00450237332019958
"53",-3.48,0.00461535456013745
"54",-3.47,0.00473083325956372
"55",-3.46,0.00484885521688579
"56",-3.45,0.00496946682341653
"57",-3.44,0.00509271506475759
"58",-3.43,0.00521864752200233
"59",-3.42,0.00534731237275356
"60",-3.41,0.00547875839195104
"61",-3.4,0.00561303495250355
"62",-3.39,0.00575019202572061
"63",-3.38,0.00589028018153866
"64",-3.37,0.00603335058853643
"65",-3.36,0.00617945501373471
"66",-3.35,0.00632864582217487
"67",-3.34,0.00648097597627135
"68",-3.33,0.0066364990349327
"69",-3.32,0.00679526915244606
"70",-3.31,0.00695734107711973
"71",-3.3,0.00712277014967897
"72",-3.29,0.00729161230140923
"73",-3.28,0.00746392405204221
"74",-3.27,0.00763976250737921
"75",-3.26,0.00781918535664647
"76",-3.25,0.00800225086957772
"77",-3.24,0.00818901789321841
"78",-3.23,0.00837954584844657
"79",-3.22,0.00857389472620528
"80",-3.21,0.00877212508344147
"81",-3.2,0.00897429803874621
"82",-3.19,0.00918047526769123
"83",-3.18,0.00939071899785667
"84",-3.17,0.00960509200354543
"85",-3.16,0.00982365760017875
"86",-3.15,0.0100464796383684
"87",-3.14,0.0102736224976608
"88",-3.13,0.0105051510799478
"89",-3.12,0.0107411308025401
"90",-3.11,0.0109816275908982
"91",-3.1,0.0112267078710163
"92",-3.09,0.0114764385614552
"93",-3.08,0.0117308870650187
"94",-3.07,0.0119901212600708
"95",-3.06,0.0122542094914874
"96",-3.05,0.0125232205612405
"97",-3.04,0.0127972237186089
"98",-3.03,0.0130762886500129
"99",-3.02,0.013360485468468
"100",-3.01,0.013649884702655
"101",-3,0.0139445572856014
"102",-2.99,0.0142445745429724
"103",-2.98,0.0145500081809663
"104",-2.97,0.0148609302738117
"105",-2.96,0.0151774132508644
"106",-2.95,0.015499529883299
"107",-2.94,0.0158273532703937
"108",-2.93,0.0161609568254056
"109",-2.92,0.0165004142610327
"110",-2.91,0.016845799574462
"111",-2.9,0.0171971870319994
"112",-2.89,0.017554651153281
"113",-2.88,0.0179182666950628
"114",-2.87,0.0182881086345878
"115",-2.86,0.0186642521525277
"116",-2.85,0.0190467726154996
"117",-2.84,0.0194357455581546
"118",-2.83,0.0198312466648381
"119",-2.82,0.0202333517508222
"120",-2.81,0.0206421367431063
"121",-2.8,0.0210576776607891
"122",-2.79,0.0214800505950096
"123",-2.78,0.0219093316884575
"124",-2.77,0.0223455971144531
"125",-2.76,0.0227889230555981
"126",-2.75,0.0232393856819965
"127",-2.74,0.0236970611290471
"128",-2.73,0.0241620254748095
"129",-2.72,0.0246343547169431
"130",-2.71,0.0251141247492227
"131",-2.7,0.0256014113376313
"132",-2.69,0.0260962900960321
"133",-2.68,0.0265988364614229
"134",-2.67,0.027109125668775
"135",-2.66,0.0276272327254588
"136",-2.65,0.028153232385261
"137",-2.64,0.0286871991219943
"138",-2.63,0.0292292071027055
"139",-2.62,0.029779330160485
"140",-2.61,0.0303376417668809
"141",-2.6,0.0309042150039244
"142",-2.59,0.0314791225357694
"143",-2.58,0.0320624365799518
"144",-2.57,0.0326542288782742
"145",-2.56,0.0332545706673216
"146",-2.55,0.033863532648613
"147",-2.54,0.034481184958397
"148",-2.53,0.0351075971370955
"149",-2.52,0.0357428380984046
"150",-2.51,0.0363869760980584
"151",-2.5,0.0370400787022625
"152",-2.49,0.0377022127558077
"153",-2.48,0.0383734443498677
"154",-2.47,0.0390538387894931
"155",-2.46,0.0397434605608077
"156",-2.45,0.0404423732979167
"157",-2.44,0.0411506397495367
"158",-2.43,0.0418683217453559
"159",-2.42,0.0425954801621346
"160",-2.41,0.0433321748895569
"161",-2.4,0.0440784647958431
"162",-2.39,0.0448344076931332
"163",-2.38,0.0456000603026542
"164",-2.37,0.0463754782196802
"165",-2.36,0.0471607158782991
